Feature,Coefficient
lh_fusiform-lh_parsorbitalis,-0.0
lh_fusiform-lh_parstriangularis,-0.0
lh_fusiform-lh_pericalcarine,-0.0
lh_fusiform-lh_postcentral,0.0
lh_fusiform-lh_posteriorcingulate,0.0
lh_fusiform-lh_precentral,0.011159728268945334
lh_fusiform-lh_precuneus,0.0
lh_fusiform-lh_rostralanteriorcingulate,0.0
lh_fusiform-lh_rostralmiddlefrontal,0.0
lh_fusiform-lh_superiorfrontal,0.0
lh_fusiform-lh_superiorparietal,0.0
lh_fusiform-lh_superiortemporal,0.0
lh_fusiform-lh_supramarginal,0.0
lh_fusiform-lh_frontalpole,-0.0
lh_fusiform-lh_temporalpole,0.0
lh_fusiform-lh_transversetemporal,0.019172863403246972
lh_fusiform-lh_insula,-0.0
lh_fusiform-rh_bankssts,-0.0
lh_fusiform-rh_caudalanteriorcingulate,0.0
lh_fusiform-rh_caudalmiddlefrontal,0.0
lh_fusiform-rh_cuneus,-0.0
lh_fusiform-rh_entorhinal,0.0
lh_fusiform-rh_fusiform,0.0
lh_fusiform-rh_inferiorparietal,0.0
lh_fusiform-rh_inferiortemporal,0.0038339910188081128
lh_fusiform-rh_isthmuscingulate,-0.0
lh_fusiform-rh_lateraloccipital,-0.0
lh_fusiform-rh_lateralorbitofrontal,-0.0
lh_fusiform-rh_lingual,-0.0
lh_fusiform-rh_medialorbitofrontal,0.0
lh_fusiform-rh_middletemporal,0.0
lh_fusiform-rh_parahippocampal,-0.0
lh_fusiform-rh_paracentral,0.0
lh_fusiform-rh_parsopercularis,-0.0
lh_fusiform-rh_parsorbitalis,-0.0
lh_fusiform-rh_parstriangularis,-0.0
lh_fusiform-rh_pericalcarine,-0.0
lh_fusiform-rh_postcentral,-0.0
lh_fusiform-rh_posteriorcingulate,0.0
lh_fusiform-rh_precentral,0.0
lh_fusiform-rh_precuneus,0.005779976315197267
lh_fusiform-rh_rostralanteriorcingulate,0.0
lh_fusiform-rh_rostralmiddlefrontal,0.0
lh_fusiform-rh_superiorfrontal,0.0
lh_fusiform-rh_superiorparietal,0.0
lh_fusiform-rh_superiortemporal,0.0
lh_fusiform-rh_supramarginal,0.0
lh_fusiform-rh_frontalpole,-0.0
lh_fusiform-rh_temporalpole,0.0
lh_fusiform-rh_transversetemporal,0.0
lh_fusiform-rh_insula,0.0
lh_inferiorparietal-lh_inferiortemporal,-0.0
lh_inferiorparietal-lh_isthmuscingulate,0.0
lh_inferiorparietal-lh_lateraloccipital,0.0
lh_inferiorparietal-lh_lateralorbitofrontal,0.0
lh_inferiorparietal-lh_lingual,0.0
lh_inferiorparietal-lh_medialorbitofrontal,-0.0
