Row,Component_1,Component_2,Component_3
lh_caudalmiddlefrontal-lh_lateralorbitofrontal,-1.6771163656657e-05,-1.53649707697855e-05,-2.32568822691318e-05
lh_caudalmiddlefrontal-lh_lingual,4.44092534507133e-06,2.94240468821766e-05,-1.95833629695831e-06
lh_caudalmiddlefrontal-lh_medialorbitofrontal,-7.44504169862264e-06,9.86379036260196e-06,2.35334441684233e-05
lh_caudalmiddlefrontal-lh_middletemporal,-1.0011140708266e-05,4.26086891136568e-06,2.71181672821543e-05
lh_caudalmiddlefrontal-lh_parahippocampal,-4.03428206606744e-06,1.05122720510061e-05,1.49894200621768e-05
lh_caudalmiddlefrontal-lh_paracentral,-6.74880193396369e-06,1.23743094138095e-05,2.58600449452234e-05
lh_caudalmiddlefrontal-lh_parsopercularis,-9.23061534366833e-06,1.60027879034177e-06,2.12202987249191e-05
lh_caudalmiddlefrontal-lh_parsorbitalis,-1.11489139675103e-05,3.32982147557756e-06,3.26205959008962e-05
lh_caudalmiddlefrontal-lh_parstriangularis,-6.63506769143143e-06,5.09350040042783e-06,3.1695511935415e-05
lh_caudalmiddlefrontal-lh_pericalcarine,8.05463220131806e-06,3.06019216750556e-05,-7.87498537099935e-07
lh_caudalmiddlefrontal-lh_postcentral,-4.93400665558364e-06,1.42264400962876e-05,2.97654856088136e-06
lh_caudalmiddlefrontal-lh_posteriorcingulate,5.96389531311982e-07,2.34383805815064e-05,4.04926717019048e-05
lh_caudalmiddlefrontal-lh_precentral,-1.34142849058336e-05,-6.94353293039888e-06,-5.26441498214562e-06
lh_caudalmiddlefrontal-lh_precuneus,-5.8070921931422e-06,7.56936847625821e-06,-5.05670559942331e-08
lh_caudalmiddlefrontal-lh_rostralanteriorcingulate,-2.09487303829568e-05,-9.5718395153418e-06,9.30237441134434e-06
lh_caudalmiddlefrontal-lh_rostralmiddlefrontal,-5.47841275740758e-06,2.78147627852962e-06,-5.4258785394322e-06
lh_caudalmiddlefrontal-lh_superiorfrontal,-2.05893932542755e-05,-1.50257136768497e-05,-1.19019638251474e-05
lh_caudalmiddlefrontal-lh_superiorparietal,2.45626143310351e-06,2.65415396987074e-05,2.53798199517577e-05
lh_caudalmiddlefrontal-lh_superiortemporal,-1.1075609621505e-05,4.53483112759432e-06,1.62804230864288e-05
lh_caudalmiddlefrontal-lh_supramarginal,-1.66598246235785e-05,-1.64898655125999e-05,-2.00164583749648e-05
lh_caudalmiddlefrontal-lh_frontalpole,-1.79734272959287e-05,-1.40084707493278e-05,-7.54939278175266e-06
lh_caudalmiddlefrontal-lh_temporalpole,-4.55705975733838e-06,1.61783860488881e-05,7.45836020061064e-06
lh_caudalmiddlefrontal-lh_transversetemporal,-7.78665111107963e-06,-2.1808132580104e-06,-6.46641630235271e-06
lh_caudalmiddlefrontal-lh_insula,-1.72408038334687e-07,1.86017930808589e-05,2.62209985711241e-05
lh_caudalmiddlefrontal-rh_bankssts,-1.26669377039213e-05,-1.2034215352127e-05,-1.11325297552745e-05
lh_caudalmiddlefrontal-rh_caudalanteriorcingulate,2.29788175605155e-07,2.37872442813332e-05,4.52905522360183e-05
lh_caudalmiddlefrontal-rh_caudalmiddlefrontal,-9.45716790561826e-06,1.46855387331027e-06,2.24154778487345e-05
lh_caudalmiddlefrontal-rh_cuneus,2.06280719263421e-06,1.40263342236156e-05,-3.71704031402619e-05
lh_caudalmiddlefrontal-rh_entorhinal,-6.53039341415175e-06,3.7869922352956e-06,8.55832384292912e-06
lh_caudalmiddlefrontal-rh_fusiform,-8.65699555943121e-06,5.11841472815913e-06,8.80894143712239e-06
lh_caudalmiddlefrontal-rh_inferiorparietal,-8.45360155585685e-06,-3.98268670493226e-06,-1.32545263187486e-05
lh_caudalmiddlefrontal-rh_inferiortemporal,-1.02896009559541e-05,6.09797910180727e-06,2.33043658341647e-05
lh_caudalmiddlefrontal-rh_isthmuscingulate,8.51881794802316e-06,2.74626365805064e-05,-7.98170182746403e-07
lh_caudalmiddlefrontal-rh_lateraloccipital,1.01064360352202e-06,1.5818476943797e-05,-1.44216209377609e-05
lh_caudalmiddlefrontal-rh_lateralorbitofrontal,-1.16112473526127e-05,-3.70252347528122e-07,1.13690955561431e-05
lh_caudalmiddlefrontal-rh_lingual,6.15708654771693e-06,2.90549823863864e-05,-6.11733432399683e-06
lh_caudalmiddlefrontal-rh_medialorbitofrontal,-1.01633195439004e-05,1.20313551795557e-06,6.80960446435648e-06
lh_caudalmiddlefrontal-rh_middletemporal,-1.20760442869876e-05,-1.76393766596054e-07,1.41193856328349e-05
lh_caudalmiddlefrontal-rh_parahippocampal,-4.57844686485629e-06,8.39786849407209e-06,1.24409520493965e-05
lh_caudalmiddlefrontal-rh_paracentral,-7.427745864912e-06,8.01523087134295e-06,1.72761766648426e-05
lh_caudalmiddlefrontal-rh_parsopercularis,-1.01159640567717e-05,-9.31159049193488e-07,1.42518255297343e-05
lh_caudalmiddlefrontal-rh_parsorbitalis,-1.29981919029382e-05,-2.53118446338361e-06,1.45329113121438e-05
lh_caudalmiddlefrontal-rh_parstriangularis,-5.95481660169324e-06,3.547663040653e-06,1.84099975070592e-05
lh_caudalmiddlefrontal-rh_pericalcarine,9.38711228964046e-06,2.72149516812517e-05,-8.81686063119097e-06
lh_caudalmiddlefrontal-rh_postcentral,-1.94215557453286e-06,1.66292479059122e-05,6.75106453878968e-06
lh_caudalmiddlefrontal-rh_posteriorcingulate,9.3597960629913e-07,2.10399989744286e-05,2.54227941006681e-05
lh_caudalmiddlefrontal-rh_precentral,-9.43891445521021e-06,2.87649984471975e-06,2.555389901443e-05
lh_caudalmiddlefrontal-rh_precuneus,-5.7788725351677e-06,5.2799095899917e-06,-8.54344624303079e-06
lh_caudalmiddlefrontal-rh_rostralanteriorcingulate,-1.91801897953776e-05,-6.56059795116404e-06,2.29233058971173e-05
lh_caudalmiddlefrontal-rh_rostralmiddlefrontal,-3.27358125061356e-06,4.76981658858239e-06,-8.40449380622887e-06
lh_caudalmiddlefrontal-rh_superiorfrontal,-2.13518238359702e-05,-1.37303142775854e-05,-1.26019147551989e-06
lh_caudalmiddlefrontal-rh_superiorparietal,5.39144242832618e-06,2.97062716390957e-05,3.10114357116407e-05
lh_caudalmiddlefrontal-rh_superiortemporal,-9.05940816806208e-06,1.08664170541392e-05,3.75576745127684e-05
lh_caudalmiddlefrontal-rh_supramarginal,-1.52423362997325e-05,-1.06158552582171e-05,-5.77233509245906e-06
lh_caudalmiddlefrontal-rh_frontalpole,-2.06662393768717e-05,-2.00004677170162e-05,-2.01930560069402e-05
lh_caudalmiddlefrontal-rh_temporalpole,-3.68102992021788e-06,1.72855735090882e-05,5.50872160641907e-06
lh_caudalmiddlefrontal-rh_transversetemporal,-6.70472634018141e-06,4.26631993537078e-07,2.56884964435428e-06
lh_caudalmiddlefrontal-rh_insula,-2.60306433659832e-06,1.36558925408309e-05,1.99804988916059e-05
