Row,Component_1,Component_2
lh_caudalmiddlefrontal-lh_frontalpole,-1.14396715810348e-05,1.37521081646065e-05
lh_caudalmiddlefrontal-lh_temporalpole,-2.61524663592487e-06,-1.00684528999503e-05
lh_caudalmiddlefrontal-lh_transversetemporal,1.4703518920313e-05,4.27959014113052e-05
lh_caudalmiddlefrontal-lh_insula,9.68022304542366e-07,-1.02270354006349e-05
lh_caudalmiddlefrontal-rh_bankssts,-1.27052625686169e-05,1.02173074853316e-05
lh_caudalmiddlefrontal-rh_caudalanteriorcingulate,2.58134359979143e-06,5.54584337892553e-05
lh_caudalmiddlefrontal-rh_caudalmiddlefrontal,-1.14069032945396e-05,9.29556435308991e-06
lh_caudalmiddlefrontal-rh_cuneus,3.88366763935505e-05,1.00416358568395e-05
lh_caudalmiddlefrontal-rh_entorhinal,-1.0156482702505e-05,-2.11439717260032e-05
lh_caudalmiddlefrontal-rh_fusiform,-8.61500095492718e-06,1.26753182605572e-05
lh_caudalmiddlefrontal-rh_inferiorparietal,-7.24797976483223e-06,-1.65663148052098e-05
lh_caudalmiddlefrontal-rh_inferiortemporal,-2.38437079171737e-05,-2.49227567138087e-05
lh_caudalmiddlefrontal-rh_isthmuscingulate,7.14478601280873e-06,-1.55303112744076e-05
lh_caudalmiddlefrontal-rh_lateraloccipital,2.53135248747065e-05,7.61554972132589e-06
lh_caudalmiddlefrontal-rh_lateralorbitofrontal,-7.82068989298524e-06,2.50829724085769e-05
lh_caudalmiddlefrontal-rh_lingual,3.66297098463369e-05,2.05497845023571e-05
lh_caudalmiddlefrontal-rh_medialorbitofrontal,-4.29663950865576e-06,2.32429826778102e-05
lh_caudalmiddlefrontal-rh_middletemporal,-1.57999905600162e-05,2.06300043810734e-05
lh_caudalmiddlefrontal-rh_parahippocampal,-6.78587767715154e-06,7.30866216951416e-06
lh_caudalmiddlefrontal-rh_paracentral,1.95249391317291e-06,2.26372031553973e-05
lh_caudalmiddlefrontal-rh_parsopercularis,-9.69538579675691e-06,1.60172110838225e-05
lh_caudalmiddlefrontal-rh_parsorbitalis,-1.59689734219467e-05,8.65548816212688e-06
lh_caudalmiddlefrontal-rh_parstriangularis,-4.41772291098617e-06,1.39296255326959e-05
lh_caudalmiddlefrontal-rh_pericalcarine,4.18978732606507e-05,1.0578126100627e-05
