,Component_1,Component_2,Component_3,Component_4,Component_5
rh_bankssts-rh_isthmuscingulate,0.0032529100858031896,0.015310039751815857,0.015046095125326583,0.022381383165152258,-0.003501922649619703
rh_bankssts-rh_lateraloccipital,0.010521927094650359,0.01516929956707361,0.004050723479800583,-0.012682092368935423,0.01872394432311514
rh_bankssts-rh_lateralorbitofrontal,0.027521519851328686,-0.0015586458650403091,-0.008259013876594362,-0.012889024833762832,-0.0037659223701010064
rh_bankssts-rh_lingual,0.004690144207851598,0.027675191817817243,0.014433016714121767,-0.01951764436757071,0.009501619558757123
rh_bankssts-rh_medialorbitofrontal,0.02425993980127618,0.0007823030388002627,-0.0025539969821227705,0.00174695910755078,0.011075513672244651
rh_bankssts-rh_middletemporal,0.029249275337936833,-0.010999955015666921,0.008715436944908573,0.009459202665021501,0.015499749873054152
rh_bankssts-rh_parahippocampal,0.016717527123170903,0.010451037113257539,-0.02023712626145755,-0.02018811970506514,-0.017504390492254596
rh_bankssts-rh_paracentral,0.015890468664135207,0.011868263519007818,-0.013564495166253637,0.0027541500810714294,0.011457120189013882
rh_bankssts-rh_parsopercularis,0.018225192680335348,0.0017633445165079757,-0.005680207635031839,-0.0008945137246112161,0.013449513686277803
rh_bankssts-rh_parsorbitalis,0.022345048265209146,0.006982900556521654,-0.016610734229464137,-0.009686987376682683,0.009995676409716209
rh_bankssts-rh_parstriangularis,0.012706834882500694,0.01629258844036485,-0.024215649630605508,-0.01841388787341687,-0.004381192164599618
rh_bankssts-rh_pericalcarine,-0.002471604353133272,0.01769128665989541,0.03521660703031917,-0.012312128994894976,0.02423015711424746
rh_bankssts-rh_postcentral,0.013530393287147486,0.019110994502100614,-0.0036248868217075136,0.0013936791198304657,0.02872746585529822
rh_bankssts-rh_posteriorcingulate,0.004397150676052933,0.021463231855717472,-0.01101926302472296,0.034116490219035726,-0.02111389520987151
rh_bankssts-rh_precentral,0.026303306207720357,-0.008323205471449376,0.002774602225103347,0.006989100296621854,0.03283232102962982
rh_bankssts-rh_precuneus,0.021084455839005634,0.0010349207436218758,0.005413405378836069,0.002784286521115869,0.02268720560774952
rh_bankssts-rh_rostralanteriorcingulate,0.029615014988059553,0.0066406798808627335,-0.02727227376365145,-0.027607773387085737,-0.0253575876647498
rh_bankssts-rh_rostralmiddlefrontal,0.014086148876830035,0.0064642282733479925,0.00023264062304616926,0.007512073092311535,0.021797060659687402
rh_bankssts-rh_superiorfrontal,0.031328827344714434,-0.006109614926511281,-0.0025737627857584816,-0.008134080202219215,-0.001878093447075072
rh_bankssts-rh_superiorparietal,0.0007768917261164007,0.029876512215749263,-0.015767704865219122,-0.001010125919202091,0.04140326749397134
rh_bankssts-rh_superiortemporal,0.02355718473186633,0.0007980437970866963,-0.005329332626338363,-0.005093130353188192,0.0030624491084692224
rh_bankssts-rh_supramarginal,0.029357402466900315,-0.008033007432441758,0.0032652390445355593,0.005555314135134209,0.012876385214531771
rh_bankssts-rh_frontalpole,0.03429716629975579,-0.004926406088633495,-0.00851038711062782,-0.022565514754980226,0.004343548823059707
rh_bankssts-rh_temporalpole,0.016130035732574204,0.015822181504608013,0.013316223346327021,0.006835614341628895,-0.04597246567946026
rh_bankssts-rh_transversetemporal,0.008419732894506616,0.006705201096143251,-0.009920983088130131,-0.02020090805160485,-0.0033368069174389615
rh_bankssts-rh_insula,0.007375963583201717,0.002019870911497885,0.0034936496478958135,-0.0014312997628019115,-0.01157607722757151
rh_caudalanteriorcingulate-rh_caudalmiddlefrontal,-0.004184576992307716,0.04235556519756692,-0.034557432275510745,0.03526460947713526,-0.015527986769453123
rh_caudalanteriorcingulate-rh_cuneus,0.04022714698897657,-0.02763379434604852,0.06133147176648284,0.009400206680596922,-0.013385958762237226
rh_caudalanteriorcingulate-rh_entorhinal,0.017445434261120097,0.009140575390947158,0.004154123275645898,0.03448148416622959,-0.025403404427018033
rh_caudalanteriorcingulate-rh_fusiform,-9.437764836948364e-05,0.03156863954182815,-0.022816800951813813,0.043782153171622346,-0.008300256764672621
rh_caudalanteriorcingulate-rh_inferiorparietal,0.010435037945886575,0.022518714830092854,-0.01478921313262238,0.05444421941326554,-0.005124896303041889
rh_caudalanteriorcingulate-rh_inferiortemporal,0.0055175914849258266,0.028334341189616443,-0.01803060799071528,0.04449444360475133,-0.013459462980302815
rh_caudalanteriorcingulate-rh_isthmuscingulate,0.020332503212483623,-0.005902264089314192,-0.0013717113621414948,0.015789166496487192,-0.000584800391302689
rh_caudalanteriorcingulate-rh_lateraloccipital,0.028806059759508024,0.0009585168950169522,0.0055964288208879805,0.04288315298289147,-0.0006417159366067213
rh_caudalanteriorcingulate-rh_lateralorbitofrontal,0.0035443886402619787,0.02765409597164538,-0.022334927870617607,0.03379018015454073,-0.01195428360574062
rh_caudalanteriorcingulate-rh_lingual,0.03050715929491445,-0.009643408877667499,0.029485331045194078,0.013308435246729549,-0.0015656765787779407
rh_caudalanteriorcingulate-rh_medialorbitofrontal,0.022315455183651592,0.013268288372319408,-0.005324464666607503,0.04645643371113681,-0.006761016040496193
rh_caudalanteriorcingulate-rh_middletemporal,0.009575019004377948,0.032586821780942285,-0.0317556153882347,0.023444668425938286,-0.03391170135555405
rh_caudalanteriorcingulate-rh_parahippocampal,0.011178902006733559,0.02393823380479805,-0.014442098157614495,0.020930701316983255,-0.025000017900914495
rh_caudalanteriorcingulate-rh_paracentral,0.018908737702933418,0.01745094706202877,-0.014285544904349587,0.03893740654700439,-0.014611397379989333
rh_caudalanteriorcingulate-rh_parsopercularis,-0.005411633779538581,0.04390186034641034,-0.04017390156137755,0.02976526946503572,-0.015893108450633492
rh_caudalanteriorcingulate-rh_parsorbitalis,0.012003274291228378,0.029411815920102887,-0.024321675569805957,0.03747561920793435,-0.0027226969883123583
rh_caudalanteriorcingulate-rh_parstriangularis,0.004953754449468038,0.0326903682305876,-0.028061378565276938,0.035995961425626014,-0.01804879218217539
rh_caudalanteriorcingulate-rh_pericalcarine,0.01920081200867197,-0.016335166732584575,0.042000803572074884,-0.026014092450785162,0.0027771869391543403
rh_caudalanteriorcingulate-rh_postcentral,0.03026827185429933,0.008668287611123255,0.0005234822692370103,0.03172035296124725,-0.006439974444755231
