,Component_1,Component_2
lh_cuneus-rh_parahippocampal,0.016690407988209383,-0.004028897591019225
lh_cuneus-rh_paracentral,-0.001742805727765078,0.012424626876962212
lh_cuneus-rh_parsopercularis,-0.016942740075212206,0.030760999351534268
lh_cuneus-rh_parsorbitalis,-0.011217554490135184,0.027917398418996417
lh_cuneus-rh_parstriangularis,-0.009666081351581453,0.02055341591322573
lh_cuneus-rh_pericalcarine,0.01399942716027492,-0.013007159553216449
lh_cuneus-rh_postcentral,0.004133598512431051,0.011203872573221163
lh_cuneus-rh_posteriorcingulate,0.013154500124731138,0.012929804283557507
lh_cuneus-rh_precentral,-0.026397706898924136,0.037034826759398606
lh_cuneus-rh_precuneus,-0.007409568495326414,0.025718801017116086
lh_cuneus-rh_rostralanteriorcingulate,0.026448556605568076,-0.0029167966654341277
lh_cuneus-rh_rostralmiddlefrontal,-0.009374998249055046,0.03055578449341472
lh_cuneus-rh_superiorfrontal,-0.023337258680861735,0.043928802407665175
lh_cuneus-rh_superiorparietal,0.00623330201499902,0.007618126303475346
lh_cuneus-rh_superiortemporal,-0.01653631015314286,0.03645154820024976
lh_cuneus-rh_supramarginal,-0.018909601446530373,0.037590260521727134
lh_cuneus-rh_frontalpole,0.0032693771457547147,0.02204789298788503
lh_cuneus-rh_temporalpole,-0.011092941702383357,0.030584668766247245
lh_cuneus-rh_transversetemporal,0.017552545566569773,0.006010243866152403
lh_cuneus-rh_insula,-0.002117381752867784,0.024666692913992413
lh_entorhinal-lh_fusiform,0.027734581340462902,-0.009636452056637757
lh_entorhinal-lh_inferiorparietal,0.0075053004584944615,0.013449500385361673
lh_entorhinal-lh_inferiortemporal,0.027491749594193638,-0.012897092585679688
lh_entorhinal-lh_isthmuscingulate,0.0059232024533804484,0.01340743714995376
lh_entorhinal-lh_lateraloccipital,-0.009952813598962846,0.03300383348182773
lh_entorhinal-lh_lateralorbitofrontal,0.016738680645208167,0.0077030550885897825
lh_entorhinal-lh_lingual,0.00010501172628965872,0.0211147592936131
lh_entorhinal-lh_medialorbitofrontal,0.0065715159864819595,0.010369227142721005
lh_entorhinal-lh_middletemporal,0.028047727368368656,-0.016170394371854746
lh_entorhinal-lh_parahippocampal,0.016812905471361737,0.001641508923052279
lh_entorhinal-lh_paracentral,0.012349700759175547,0.016363770013753144
lh_entorhinal-lh_parsopercularis,0.020309640786438574,8.561422920746594e-05
lh_entorhinal-lh_parsorbitalis,-0.011749966407273611,0.02889939835245094
lh_entorhinal-lh_parstriangularis,0.005698549525608426,0.011128536763456022
lh_entorhinal-lh_pericalcarine,-0.009992128783388418,0.03223222436483981
lh_entorhinal-lh_postcentral,-0.0006572310450978055,0.027935106274665757
lh_entorhinal-lh_posteriorcingulate,0.034049007684926635,0.0006406325018994788
lh_entorhinal-lh_precentral,0.020094825682260842,0.004935591665319193
lh_entorhinal-lh_precuneus,0.011867894948802565,0.008989333235717155
lh_entorhinal-lh_rostralanteriorcingulate,0.04605240540845493,-0.010735731573276243
lh_entorhinal-lh_rostralmiddlefrontal,0.01319548956321799,0.000767554825853298
lh_entorhinal-lh_superiorfrontal,0.019360618893366204,-0.00784797183003631
lh_entorhinal-lh_superiorparietal,-0.00612151847086505,0.029084291153219654
lh_entorhinal-lh_superiortemporal,0.0281901532111074,-0.016295499367293204
lh_entorhinal-lh_supramarginal,0.015262414227560892,0.00029206683992587706
lh_entorhinal-lh_frontalpole,-0.020591448888812213,0.04147290301388501
lh_entorhinal-lh_temporalpole,-0.00513639179922146,0.013111704486583445
lh_entorhinal-lh_transversetemporal,0.03062204246990534,-0.011366631723323282
lh_entorhinal-lh_insula,0.029623242391223614,-0.01120362125585633
lh_entorhinal-rh_bankssts,0.03410670289782669,-0.009471219566443385
lh_entorhinal-rh_caudalanteriorcingulate,0.012999751388431097,0.019083033150565906
lh_entorhinal-rh_caudalmiddlefrontal,0.013622621004677983,0.010032878009050006
lh_entorhinal-rh_cuneus,-0.026669848688085602,0.038835662706017675
lh_entorhinal-rh_entorhinal,0.013138652331898551,-0.009209615557524116
lh_entorhinal-rh_fusiform,0.031586095508236135,-0.013317845118243597
lh_entorhinal-rh_inferiorparietal,0.005676885655283346,0.013389238418309496
lh_entorhinal-rh_inferiortemporal,0.027699968787281464,-0.013432624113662677
lh_entorhinal-rh_isthmuscingulate,0.01073121275845256,0.0020652800290543206
lh_entorhinal-rh_lateraloccipital,-0.006538223379462366,0.024859636967451765
lh_entorhinal-rh_lateralorbitofrontal,0.019939647639775685,0.0006680332353427406
lh_entorhinal-rh_lingual,-0.015611485775193607,0.03649907995091128
lh_entorhinal-rh_medialorbitofrontal,0.0057776667251723006,0.00670193906433636
lh_entorhinal-rh_middletemporal,0.026645407945780342,-0.01453805287001024
lh_entorhinal-rh_parahippocampal,0.016217230186407063,0.002180491259875724
lh_entorhinal-rh_paracentral,0.012355819427363536,0.00975843125279729
lh_entorhinal-rh_parsopercularis,0.009919261102300703,0.012628264645709186
lh_entorhinal-rh_parsorbitalis,-0.019259113109569577,0.03748438100823632
lh_entorhinal-rh_parstriangularis,-0.005621424716793491,0.022675569147372978
lh_entorhinal-rh_pericalcarine,-0.01330901727021375,0.028324458284156015
lh_entorhinal-rh_postcentral,-0.01012408498025081,0.036138467540295226
lh_entorhinal-rh_posteriorcingulate,0.035534671605699654,-0.004725931519067177
lh_entorhinal-rh_precentral,0.016653467815050036,0.005068672801487274
lh_entorhinal-rh_precuneus,0.008013197542132153,0.010120460586370726
lh_entorhinal-rh_rostralanteriorcingulate,0.04189124642594492,-0.00904267381448875
lh_entorhinal-rh_rostralmiddlefrontal,0.009264702165784997,0.002303517212517737
lh_entorhinal-rh_superiorfrontal,0.01720236376475196,-0.008803953902610545
lh_entorhinal-rh_superiorparietal,-0.013129794807068532,0.03487510593567954
lh_entorhinal-rh_superiortemporal,0.026233708584604765,-0.011644868751242203
lh_entorhinal-rh_supramarginal,0.013848341478794176,0.0053286482169265775
lh_entorhinal-rh_frontalpole,-0.022111240576551335,0.03854855382275848
lh_entorhinal-rh_temporalpole,-0.007988524183398722,0.02317144701563886
lh_entorhinal-rh_transversetemporal,0.03832001164250065,-0.019165412670634686
lh_entorhinal-rh_insula,0.03755452429973684,-0.016980426413410143
lh_fusiform-lh_inferiorparietal,0.006538049735067914,0.033336735750713636
lh_fusiform-lh_inferiortemporal,0.028678803208058674,0.0015273315956311274
lh_fusiform-lh_isthmuscingulate,-0.008940415535678958,0.02665241343615539
lh_fusiform-lh_lateraloccipital,-0.01392028394226944,0.04768917699406619
lh_fusiform-lh_lateralorbitofrontal,0.024945708728447386,0.012090172950460528
lh_fusiform-lh_lingual,-0.007765822359594698,0.03468987724819987
lh_fusiform-lh_medialorbitofrontal,0.01808751979826056,0.019714089402070426
lh_fusiform-lh_middletemporal,0.01294594821810061,0.025154455191762865
lh_fusiform-lh_parahippocampal,0.012336526212389669,0.009973375595347991
lh_fusiform-lh_paracentral,0.022680782424218875,0.02112718190896541
lh_fusiform-lh_parsopercularis,0.020925621907404424,0.01401403370389721
lh_fusiform-lh_parsorbitalis,0.01288457038052303,0.023081561157139635
lh_fusiform-lh_parstriangularis,0.019223007985741752,0.01731042071577952
lh_fusiform-lh_pericalcarine,-0.00854699713914317,0.015005425929862544
lh_fusiform-lh_postcentral,0.018866432244018655,0.01964682580007079
lh_fusiform-lh_posteriorcingulate,0.012953711536357389,0.022514761698121184
lh_fusiform-lh_precentral,0.03083933527663239,0.00921285452608878
lh_fusiform-lh_precuneus,0.021154319137549806,0.01182789425226468
lh_fusiform-lh_rostralanteriorcingulate,0.05219755793935792,-0.01118535152443971
lh_fusiform-lh_rostralmiddlefrontal,0.011243078827745848,0.01110957869976699
lh_fusiform-lh_superiorfrontal,0.02530051851616036,0.006417959533296459
lh_fusiform-lh_superiorparietal,0.0006021553361498439,0.03460796849411149
lh_fusiform-lh_superiortemporal,0.035392702486897874,-0.0002827913410780022
lh_fusiform-lh_supramarginal,0.03094310717996645,-0.0005140273301937365
lh_fusiform-lh_frontalpole,0.016582317709025084,0.016465414890439005
lh_fusiform-lh_temporalpole,0.00764762017889113,0.0158198618578297
lh_fusiform-lh_transversetemporal,0.03174266760623528,-0.005824333466685434
