,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6
lh_lateraloccipital-lh_temporalpole,-3.8828783541733396e-05,0.03786026984818979,0.010872188238619095,-0.018034027604303005,0.023649908115496086,-0.029271073696457463
lh_lateraloccipital-lh_transversetemporal,0.026895927144719667,-0.0015348181603159587,0.016723362051074074,8.203728129797965e-05,-0.0066859231578701,0.019590784187266484
lh_lateraloccipital-lh_insula,0.002166037911500341,0.02731577151282886,0.002753264179823996,0.010027124682510005,0.0015229957655841899,-0.0068223863872047
lh_lateraloccipital-rh_bankssts,0.011526765023387057,0.013927251311679899,0.00977431112600257,0.0133112100620508,-0.027117447759049205,0.033148950149783286
lh_lateraloccipital-rh_caudalanteriorcingulate,0.02956485335409175,-0.006151840331185881,0.01628079654921409,-0.057889833927333254,-0.01294666022956747,-0.018057281856845783
lh_lateraloccipital-rh_caudalmiddlefrontal,0.00044293916192964466,0.024395235067154457,0.022472988771625655,0.01496396301201223,-0.009003016025091523,0.005276567573902629
lh_lateraloccipital-rh_cuneus,0.010820765720315442,-0.012660189438997372,0.05814639750339786,-0.005043579656586936,0.027407780483530896,0.012325325524817242
lh_lateraloccipital-rh_entorhinal,0.001912432201649415,0.024130535671963084,0.0011598917120851213,0.007101921029131168,0.009317697970737145,-0.035163426992319564
lh_lateraloccipital-rh_fusiform,0.0033583186729427917,0.03636781656555848,-0.0100017270124569,0.029853749923508522,0.012882668124144294,0.007594192949034692
lh_lateraloccipital-rh_inferiorparietal,0.008398426320604679,0.01843723074044005,0.028209984758911132,0.014808934659310413,-0.01976803333277089,-0.004012806734302179
lh_lateraloccipital-rh_inferiortemporal,0.00017403470972236003,0.03903165012176783,-0.013744730189538914,0.02253784502542438,-0.0048211605618115536,0.010675546989994854
lh_lateraloccipital-rh_isthmuscingulate,-0.00010612004145000355,0.0197159625496089,-0.0056432657580335705,0.0037296121517478445,0.027975040009183324,0.011799184096802697
lh_lateraloccipital-rh_lateraloccipital,0.025696866009710276,0.002707045745199313,0.009644333006094165,-0.00019144652916336518,-0.0014383318400155284,0.016102073336524712
lh_lateraloccipital-rh_lateralorbitofrontal,0.021068031486238783,0.015867930723658857,0.006047947413144732,0.015751204213645287,-0.003989808237743441,0.03406794608646341
lh_lateraloccipital-rh_lingual,-0.006268265932009038,0.0199071121713578,0.015143422286403849,0.00443681087942227,0.016273315998823912,-0.016266502970098694
lh_lateraloccipital-rh_medialorbitofrontal,0.020442082479285657,0.020864027513270465,-0.013379699039888943,0.03923442575970238,0.008147783926802743,0.007589860467268532
