,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10
lh_bankssts-rh_caudalmiddlefrontal,-0.014273227254995729,0.010908714844641258,-0.010674509067486248,-0.005468180943168293,-0.016564617702860763,0.0089974867003207,-0.007362385488432658,-0.011490354990494821,0.005828712484023357,0.02021062841761577
lh_bankssts-rh_cuneus,0.016245911741950367,-0.0037760653816861253,-0.03506512068821838,0.0027929012107097764,-0.005450321820515296,-0.003284942015775219,0.010203554489413506,-0.02670192441903244,0.02199141543953577,-0.00041239860107178275
lh_bankssts-rh_entorhinal,-0.012471574285385518,0.01226028499808665,-0.011164928384929303,0.01265888834023172,0.003154859588915715,0.03450466234049179,-0.006608386854079385,-0.012805425469524451,0.014589414050715325,0.0042158492718440115
lh_bankssts-rh_fusiform,-0.019025938113189103,0.01537344979078697,-0.0062837127187004545,0.02043599696599198,-0.0007486354112521303,0.027401993449777184,-0.002010077785050638,-0.013105840905470985,0.012039798048005724,-0.0006865337482328068
lh_bankssts-rh_inferiorparietal,-0.016058240102910043,0.012307417754921507,-0.010976085120977712,0.003808680582772878,-0.008712060469559012,0.01787291261122269,-0.00047881279860992023,-0.015814238835279854,0.0395742459246972,0.029787691671047667
lh_bankssts-rh_inferiortemporal,-0.019325426558232207,0.011853948924065076,-0.011178929677455802,0.018606363312101623,0.0024764466322932713,0.03054468214892822,-0.006813036945499404,-0.023864507903557645,0.007338082774853968,-0.0016126405518895443
lh_bankssts-rh_isthmuscingulate,-0.0031021219640169403,0.0012873299808882225,-0.015302248115323295,0.015900332933621412,0.03530841320708122,-0.0010030267265112001,-0.0023775732247582745,-0.005884506004523158,0.00042931404749801955,0.001508308954715634
lh_bankssts-rh_lateraloccipital,0.0039474707937573,0.01580090438361355,-0.014620933216469687,0.015901382548977147,-0.001196778904288428,0.014427081206234635,0.00863887693106256,-0.02525400835257942,0.02841250657951816,0.01266196761624232
lh_bankssts-rh_lateralorbitofrontal,-0.01409522592630131,0.026646507216363753,-0.00029390363840207457,0.021313646170039852,-0.006697452179122278,0.03217840979747452,0.0019476190106118166,-0.024515269282202386,0.014849499545535208,0.0070035401401175364
lh_bankssts-rh_lingual,0.012364769808506449,0.002273586024545197,-0.029700870929836382,0.013032062262045932,0.0038124934292091475,-0.023405423548395216,0.012045792104483859,-0.012664018644223445,0.029900217037761433,-0.011726545403341464
lh_bankssts-rh_medialorbitofrontal,-0.013759437410649219,0.019468246993007893,-0.010111600063493056,0.007873969148746439,-0.005766576650154205,0.021032201479002494,-0.0036773823975948155,-0.03661872058165542,0.011033565637568844,-0.01387004007380287
lh_bankssts-rh_middletemporal,-0.015178634319614017,0.013866504348859231,-0.011480086049722827,0.003025535219375826,-0.017941384474130122,0.011455442399459084,-0.0128353891920972,-0.031077892959131433,0.010535782348595056,-0.0016673449217337638
lh_bankssts-rh_parahippocampal,-0.02204810478002306,0.0028103759094058227,-0.014622147826763186,-0.005868561673234301,0.004516446082569711,0.021915229991365966,0.01730652128591656,-0.017660802105315645,-0.0038394439764815277,-0.0024278994123157777
lh_bankssts-rh_paracentral,-0.027068376159983656,-0.0009040292723877255,-0.018264280988995196,-0.0057127121827293455,-0.007736099326848808,-0.011002185762861764,-0.00443042091339239,-0.022208540393375324,0.020590398646958722,-0.009918503310442858
lh_bankssts-rh_parsopercularis,-0.013837936223998936,0.006551736270515075,-0.014276747962896233,-0.012125170108828838,-0.03215498580480418,-0.012036002367762616,-0.026197994789214977,-0.03338059502045293,-0.019867475430512524,0.002924098045530663
lh_bankssts-rh_parsorbitalis,-0.011793245329834025,0.018384188920530082,-0.010018386635925507,0.00702995514320121,-0.014360136772193482,0.010847208808360856,-0.01372043358233076,-0.03968771172387067,0.012791421622272928,0.0032603052986750203
lh_bankssts-rh_parstriangularis,-0.0167922390659009,0.012719310155157664,-0.010869388248034746,0.005984137200092785,-0.009071523712976863,-0.001829222051666639,-0.014223324615325295,-0.030903463084754067,0.021013847480756718,0.02207173231740766
lh_bankssts-rh_pericalcarine,0.021070893986066902,-0.02456079378822728,-0.044091635019396044,-8.820848666438145e-05,0.013060929134712384,-0.010962119638894091,0.010197209566196444,-0.02926934049629158,0.03949627612058986,-0.009332970644782156
lh_bankssts-rh_postcentral,-0.006427631673770303,0.01585835974175784,-0.013336826748142246,0.009210701528126837,-0.007971737063516842,0.002456695445530577,0.03888730877116573,-0.0117845814464666,0.02153693633529392,0.002835774384301717
lh_bankssts-rh_posteriorcingulate,-0.005538704167108905,0.0244395778811845,-0.007485830735814347,-0.024243711305919458,0.04472243108174228,0.01425939069440922,-0.004812349139132909,-0.018473770408017558,0.012962800009506012,-0.008624841139478638
lh_bankssts-rh_precentral,-0.021951220221928833,0.006023976046177855,-0.011891094012739183,0.002406869548383238,-0.009104570668370329,0.01053545047183857,0.001137730080025981,-0.013439326311238299,0.0295774425479291,0.02189505097981065
lh_bankssts-rh_precuneus,-0.022171307290858935,-0.0019802173349839926,-0.02173248326271886,-0.0014200060014065926,-0.01373113761681609,0.003768479147617742,-0.0034224485815880566,-0.03131144446740315,0.016871847292980795,0.012436485358641837
lh_bankssts-rh_rostralanteriorcingulate,-0.027678033950536553,0.020993459269062865,-0.0005051275603627549,0.021012977583262888,-0.004002571041775037,0.003923661954058251,-0.020379614622777008,-0.023552391800816034,-0.002123000953058483,-0.011039569917343773
lh_bankssts-rh_rostralmiddlefrontal,-0.008958230016393212,0.015644272385589155,-0.00893751079832455,0.009308995450345076,-0.0031621563511894353,0.012984029643354723,-0.005076726062918884,-0.030568089239808572,0.021782064704987267,0.0002956033561956147
lh_bankssts-rh_superiorfrontal,-0.005807294562847946,0.02919576942402597,-0.006092311944132471,0.004582234277268213,-0.02207082815121923,0.02256711742560246,-0.019752844785048584,-0.02707372622046424,0.014293537998193686,0.019456345608385602
lh_bankssts-rh_superiorparietal,-0.006493097852506275,0.0144491396145043,-0.011758380840203404,0.008290219104296202,-0.017883172886273845,-0.01385386416988481,0.008637535276695163,-0.031172116158336264,0.01459264475616549,0.021603286623472606
lh_bankssts-rh_superiortemporal,-0.015505965627171749,0.011007734160118531,-0.013890175142026352,-0.004270346124761029,-0.029301275764638014,0.0076114857747342475,-0.01703891826870107,-0.007841946970045423,0.01671321841230201,0.007033902832563327
lh_bankssts-rh_supramarginal,-0.01927211411600038,0.014758828303065836,-0.009052734570628301,0.008917188393084582,-0.0016945059039236467,0.02572116114463624,-0.0042434539530687935,-0.012504558628032793,0.029811609664909127,0.02899149729027656
lh_bankssts-rh_frontalpole,-0.012127308910373526,0.012295381703715927,-0.017004013648819594,0.0006856032687581672,-0.02316269918103118,0.011320225900828691,-0.007012422003977989,-0.03988492599169685,0.019840035047368042,0.012592570236160167
lh_bankssts-rh_temporalpole,-0.005079286500131052,0.01772145122036241,-0.022099974316917816,-0.003657304272421668,0.001897189167071888,0.03810343675060308,-0.04094620556983322,-0.039415793025167574,0.010380722052128703,0.01428136868845812
lh_bankssts-rh_transversetemporal,-0.0101509333853086,0.009238988334049588,0.002766041661534504,0.012380623427183643,0.01912825468066438,-0.013801178795947434,-0.005481848257915023,-0.010753584402807605,0.014979067940161073,0.03482432414548518
lh_bankssts-rh_insula,-0.013072012449592574,-0.009878469430617522,-0.007674575315754885,0.0007402118070957618,-0.01582867820460458,-0.004234485421293634,-0.002696955010351632,0.02326432240731623,-0.024639505044862665,0.011150812315768206
lh_caudalanteriorcingulate-lh_caudalmiddlefrontal,-0.005529355895288318,0.05479994601302524,0.01096720803840496,-0.03641757278451418,0.016526937711256216,0.01822357319260069,-0.016912223009480195,0.02180097273079437,-0.0345162972580595,0.018340783705060797
