,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9
IC2-IC5,0.05767608328857722,-0.010294992750387717,-0.11345590987821635,-0.01508778452197621,-0.07944469084318123,0.05978391216282365,0.21081117115132925,-0.015172030255982651,-0.05828339962650012
IC2-IC6,-0.04210509678067286,0.03886374529001083,0.019179405760857283,-0.09678863860895318,0.10679926717590092,0.029535132038552927,-0.001934232584596447,-0.006695522672605119,0.05769225362077346
IC2-IC7,-0.0013559613401609675,0.008641210233102612,-0.09021106337925623,0.12945473249887562,-0.07822303503446841,-0.03658823200770066,0.10166690052781835,0.002681751368957336,-0.18003983942059076
IC2-IC8,0.03978597822632034,0.0025471302287410746,0.025373998714581205,-0.059392331932593245,0.07631248922391899,0.09537477120176893,-0.05066195028353721,0.007817403127111213,0.005513072851612413
IC2-IC9,0.04029205776147777,-0.004919410507932248,0.04322769451178746,-0.058298209432479195,0.04296803136361039,0.07651083477497575,-0.048302812957483635,-0.06709161316758515,-0.07687222458174121
IC2-IC10,-0.021710403974593718,0.018512646713087114,0.009468601294104656,-0.04650619255528945,0.08319505788118474,0.035089105649257483,0.059477821002658325,-0.031962673475002035,-0.029084824400341967
IC2-IC11,0.03985442486944286,-0.058616234839883194,0.02033362501919459,-0.04232743991551528,-0.041501223423126114,-0.001442287403054638,-0.05755159059688134,0.08530437253445367,-0.053333999738260196
IC2-IC12,-0.014066751987675884,0.017050415024771934,0.07231568054117528,-0.15029873729164403,0.13458122220341298,-0.0742287390771092,0.14710669949456223,0.01980887610082038,-0.1293532628607958
IC2-IC13,-0.02634530474238338,0.026521509901362428,-0.05201187265294589,-0.02487120878882528,0.07332798528177628,0.019016841269602007,0.006292479215930476,0.01184383879523999,-0.0714618819109303
IC2-IC14,0.08685389768495552,-0.03266931578765929,-0.006202758184942965,-0.10867415593994655,0.10084466973071875,0.066174250076756,-0.03650730120875193,-0.12147861001291002,0.006288425711455272
IC2-IC15,0.053474460956483345,-0.028970994178582208,-0.13050514300085542,0.01618034252610333,0.029937170636761448,0.015102672001073032,-0.033692262677736576,0.07250696539041841,-0.029970111194396996
IC2-IC16,-0.02737586876046126,-0.03579658086807418,0.013365156191595324,0.0032337112987145854,-0.008874842740133039,-0.024411274612703402,0.11675516386071287,0.02379121515550693,0.07837436766757169
IC2-IC17,-0.034374300496577984,-0.009875162991640807,-0.12061888777507364,0.07262455338710656,0.15833129867027257,-0.002265809874455497,-0.044102626732945495,0.08275639786613591,-0.032095276585757136
IC2-IC18,0.015780899726906168,-0.08156714402811104,-0.005653410243475768,-0.01505517426988286,0.0828551819927064,0.056976779180103895,-0.07977014461907045,-0.12462130806274853,0.03870747915694317
IC2-IC19,0.013295987074791968,0.0064128334091913194,-0.07345570976098953,0.002009744629508111,0.008594327565194477,-0.10388509104595968,-0.020495346478141083,0.048636803187701014,0.09242777965989488
IC2-IC20,-0.04810053412002501,0.15084362612602095,0.06413581752388275,-0.07187601503856203,0.12218267646130017,0.0812032442271108,-0.039125648094832544,-0.0003340507710217106,-0.030212901527808582
