,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10
lh_bankssts-rh_superiortemporal,-0.008546727006414815,0.012961056113506864,0.015636408196966513,-0.01806668214607848,-0.017711777600095353,0.008078067675236266,-0.026188565581908168,-0.002681339768458131,0.0032214704210551883,0.001047219910953635
lh_bankssts-rh_supramarginal,-0.015457478373734618,0.008205766689926295,0.018208702459828186,-0.013580577062573497,0.0029974557630739903,0.025364912959176728,-0.022468554214021337,-0.01520327482683924,0.007149839825697462,0.013330528412692359
lh_bankssts-rh_frontalpole,-0.010378423309520523,-0.003170319019573412,0.012428316223174215,-0.021624205431379873,-0.007896227362530737,0.03098918717778941,-0.020668682117926936,-0.028893423745708944,0.015452165723039936,0.01821712984032226
lh_bankssts-rh_temporalpole,0.00025637265378032127,0.002816332947700979,0.0011304684858534676,-0.03113727772114207,0.00644594964041562,0.0340162083861568,-0.0386986331709032,-0.016705914790718653,-0.00847416638268951,0.03129149328648356
lh_bankssts-rh_transversetemporal,-0.007752643484094117,0.010576715536487489,0.010077235163395953,0.0006339517372201671,0.014212092315992422,-0.013740820239985947,-0.01271811121594196,-0.021978888098524267,-0.002861954444247828,0.018393357687905548
lh_bankssts-rh_insula,-0.0037155366268772634,0.011509874066696388,0.022469847308037083,0.007916747156140705,0.0019640887735686047,-0.0037147715512937437,0.013537268742642602,0.02694842232948588,-0.016882890298064245,0.009604068864440868
lh_caudalanteriorcingulate-lh_caudalmiddlefrontal,-0.006721735582022365,0.048245628742936586,-0.0290399450402811,-0.030200439530396164,0.01917860406170973,0.000523266368691815,-0.005046745458288716,0.01780753613054673,-0.046532272614469065,0.002798608951275266
lh_caudalanteriorcingulate-lh_cuneus,-0.004268790679175383,-0.01819330185534503,0.023442224826788153,-0.00857379525669865,0.01945308406357204,0.02193079884112798,-0.005901411923700665,-0.020573692596256184,-0.0045818379523204405,0.01797209036865119
lh_caudalanteriorcingulate-lh_entorhinal,-0.014176277713671928,0.023658962876723436,-0.015392623686327508,-0.025906021881413197,0.01963780431068283,-0.008569984121703185,-0.016062064179025726,0.007716194342675671,-0.021338828337906336,0.01839960804370278
lh_caudalanteriorcingulate-lh_fusiform,-0.01772108575814156,0.02818061884030548,-0.047166387736169824,-0.03889386061666143,0.006961879783612922,-0.010650072648909159,-0.015402660177142992,0.017709774644275807,-0.03357870018708251,0.011796451710300766
lh_caudalanteriorcingulate-lh_inferiorparietal,-0.012668164729454466,0.045235299747017926,-0.027579931725399482,-0.030344707626571394,0.020616107638137402,0.00559020659543561,-0.004043388571548877,0.02904275775173003,-0.013987743555898626,0.032087551509758706
lh_caudalanteriorcingulate-lh_inferiortemporal,-0.015454393171120902,0.03182965812979167,-0.0296196307289793,-0.03267951860396915,0.013480853244241219,-0.008163231110578805,-0.012306471424571846,0.017170709995260294,-0.02184645647037594,0.024252333188113036
lh_caudalanteriorcingulate-lh_isthmuscingulate,-0.023905390501273147,-0.006556160608900518,-0.012370751937693351,-0.014814307963513865,0.003510274966491677,-0.0012266193499313452,0.0009918012104755333,0.0058367810926553375,-0.014394238852686191,0.010574225259625711
lh_caudalanteriorcingulate-lh_lateraloccipital,-0.01742740190007936,0.016690526515784305,-0.0059396308651157486,-0.024050809178136352,0.013886338469464642,0.0033698149582453794,-0.01796960411548709,-0.007648581305203384,-0.018106756273305023,0.03499497231254737
lh_caudalanteriorcingulate-lh_lateralorbitofrontal,-0.018651470530520884,0.03149720976099355,-0.02242631535578469,-0.022837292784737694,0.021749972412195676,0.0032799412224215575,-0.007868117884230965,0.014277764807700329,-0.03646894779511488,0.021489446010547277
lh_caudalanteriorcingulate-lh_lingual,-0.017084818961113277,-0.012133320871197803,0.007924984741656337,-0.012995732078867315,0.024471136276239338,0.012569736405872174,-0.013793008744084043,-0.011982645572826212,-0.007653748041703433,0.0008229873022749291
lh_caudalanteriorcingulate-lh_medialorbitofrontal,-0.02264782145111149,0.02077571552639776,-0.017375946682905215,-0.0318345076529373,0.013404717650670073,-0.0010660687492974052,-0.013217837544332672,0.004646581830602025,-0.01326716574980759,0.024156796754608335
